"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TS","0","403","1","contour","0.1","0.2259644716978073","0.7369","0.8556"
"TS","0","404","1","contour","0.1","0.20073255896568298","0.7084","0.8543"
"TS","0","405","1","contour","0.1","0.19341224431991577","0.6834","0.885"
"TS","0","406","1","contour","0.1","0.3408507704734802","0.6265","0.8098"
"TS","0","407","1","contour","0.1","0.33291298151016235","0.4933","0.8686"
"TS","0","408","1","contour","0.1","0.29381558299064636","0.6905","0.8059"
"TS","0","409","1","contour","0.1","0.7179805040359497","0.3386","0.8427"
"TS","0","410","1","contour","0.1","0.4979342520236969","0.6295","0.695"
"TS","0","411","1","contour","0.1","0.4357129633426666","0.4249","0.8079"
"TS","0","412","1","contour","0.1","0.39457079768180847","0.5145","0.8658"
"TS","0","413","1","contour","0.1","0.332838237285614","0.6111","0.8293"
"TS","0","414","1","contour","0.1","0.6221076250076294","0.2946","0.8062"
"TS","0","415","1","contour","0.1","0.41410183906555176","0.6944","0.7278"
"TS","0","416","1","contour","0.1","0.3383409082889557","0.4801","0.7725"
"TS","0","417","1","contour","0.1","0.32333502173423767","0.5368","0.8079"
"TS","0","418","1","contour","0.1","0.5039596557617188","0.3173","0.8363"
"TS","0","419","1","contour","0.1","0.4649808406829834","0.3859","0.7819"
"TS","0","420","1","contour","0.1","0.31193944811820984","0.4825","0.8436"
"TS","0","421","1","contour","0.1","0.38542667031288147","0.3928","0.8712"
"TS","0","422","1","contour","0.1","0.40908828377723694","0.3938","0.8435"
"TS","0","423","1","contour","0.1","0.29078298807144165","0.7075","0.8251"
"TS","0","424","1","contour","0.1","0.42826637625694275","0.3958","0.8233"
"TS","0","425","1","contour","0.1","0.3743293583393097","0.4617","0.8478"
"TS","0","426","1","contour","0.1","0.3474608361721039","0.7314","0.8119"
"TS","0","427","1","contour","0.1","0.28275784850120544","0.681","0.8289"
"TS","0","428","1","contour","0.1","0.27292054891586304","0.681","0.8609"
"TS","0","429","1","contour","0.1","0.8051551580429077","0.2814","0.8259"
"TS","0","430","1","contour","0.1","0.29805833101272583","0.6446","0.8271"
"TS","0","431","1","contour","0.1","0.28022435307502747","0.5458","0.855"
"TS","0","432","1","contour","0.1","0.3405205309391022","0.599","0.827"
"TS","0","433","1","contour","0.1","0.4128473699092865","0.6607","0.8044"
"TS","0","434","1","contour","0.1","0.6901754140853882","0.3916","0.7497"
"TS","0","435","1","contour","0.1","0.35383230447769165","0.4979","0.8327"
"TS","0","436","1","contour","0.1","0.2863674759864807","0.5557","0.8427"
