"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TS","0","1376","5","grid","1.0","0.32617253065109253","0.6649","0.8124"
"TS","0","1377","5","grid","1.0","0.28508496284484863","0.6441","0.8496"
"TS","0","1378","5","grid","1.0","0.23146776854991913","0.7668","0.8474"
"TS","0","1379","5","grid","1.0","0.2684721052646637","0.6437","0.8471"
"TS","0","1380","5","grid","1.0","0.27864331007003784","0.6733","0.8182"
"TS","0","1381","5","grid","1.0","0.31496310234069824","0.5697","0.831"
"TS","0","1382","5","grid","1.0","0.2663567364215851","0.6608","0.8844"
"TS","0","1383","5","grid","1.0","0.3045562207698822","0.6553","0.8421"
"TS","0","1384","5","grid","1.0","0.2653532028198242","0.6461","0.8422"
"TS","0","1385","5","grid","1.0","0.30452728271484375","0.6173","0.8312"
"TS","0","1386","5","grid","1.0","0.24174606800079346","0.684","0.8551"
"TS","0","1387","5","grid","1.0","0.3321714699268341","0.6627","0.8159"
"TS","0","1388","5","grid","1.0","0.36975401639938354","0.4389","0.8386"
"TS","0","1389","5","grid","1.0","0.2643279433250427","0.6201","0.8385"
"TS","0","1390","5","grid","1.0","0.4626714289188385","0.5907","0.7667"
"TS","0","1391","5","grid","1.0","0.26570239663124084","0.7309","0.8415"
"TS","0","1392","5","grid","1.0","0.25055620074272156","0.7315","0.8482"
"TS","0","1393","5","grid","1.0","0.31734418869018555","0.6023","0.8626"
"TS","0","1394","5","grid","1.0","0.3454323410987854","0.677","0.7852"
"TS","0","1395","5","grid","1.0","0.22089600563049316","0.758","0.8603"
"TS","0","1396","5","grid","1.0","0.26666146516799927","0.6978","0.8582"
"TS","0","1397","5","grid","1.0","0.26045364141464233","0.659","0.8773"
"TS","0","1398","5","grid","1.0","0.266031414270401","0.662","0.8157"
"TS","0","1399","5","grid","1.0","0.306246280670166","0.6318","0.8382"
"TS","0","1400","5","contour","0.1","0.24298128485679626","0.6394","0.8743"
"TS","0","1401","5","contour","0.1","0.3100833296775818","0.6257","0.8136"
"TS","0","1402","5","contour","0.1","0.3216255009174347","0.6528","0.8053"
"TS","0","1403","5","contour","0.1","0.31797266006469727","0.6747","0.8148"
"TS","0","1404","5","contour","0.1","0.29169660806655884","0.6796","0.8086"
"TS","0","1405","5","contour","0.1","0.31499192118644714","0.5726","0.8519"
"TS","0","1406","5","contour","0.1","0.31127554178237915","0.605","0.8488"
"TS","0","1407","5","contour","0.1","0.28885671496391296","0.62","0.8347"
"TS","0","1408","5","contour","0.1","0.3152790665626526","0.5338","0.823"
"TS","0","1409","5","contour","0.1","0.37534719705581665","0.6291","0.7907"
"TS","0","1410","5","contour","0.1","0.4078748822212219","0.5659","0.7688"
"TS","0","1411","5","contour","0.1","0.3228249251842499","0.5489","0.8286"
"TS","0","1412","5","contour","0.1","0.35551267862319946","0.3952","0.8527"
"TS","0","1413","5","contour","0.1","0.309029757976532","0.613","0.8521"
"TS","0","1414","5","contour","0.1","0.29628103971481323","0.6618","0.8251"
"TS","0","1415","5","contour","0.1","0.4025779664516449","0.4765","0.8247"
"TS","0","1416","5","contour","0.1","0.27559179067611694","0.7024","0.8317"
"TS","0","1417","5","contour","0.1","0.30807608366012573","0.5816","0.8442"
"TS","0","1418","5","contour","0.1","0.36602383852005005","0.6453","0.7758"
"TS","0","1419","5","contour","0.1","0.3324643075466156","0.4556","0.8971"
"TS","0","1420","5","contour","0.1","0.2993391156196594","0.6998","0.8135"
"TS","0","1421","5","contour","0.1","0.2734176218509674","0.6909","0.8666"
"TS","0","1422","5","contour","0.1","0.2697741985321045","0.4666","0.8683"
"TS","0","1423","5","contour","0.1","0.315309077501297","0.7244","0.8297"
"TS","0","1424","5","contour","0.1","0.2920462489128113","0.5651","0.8451"
"TS","0","1425","5","contour","0.1","0.3179231584072113","0.4915","0.8702"
"TS","0","1426","5","contour","0.1","0.3322417438030243","0.6401","0.819"
"TS","0","1427","5","contour","0.1","0.36220183968544006","0.6459","0.8127"
"TS","0","1428","5","contour","0.1","0.3621583580970764","0.6244","0.794"
"TS","0","1429","5","contour","0.1","0.4111422598361969","0.3152","0.8596"
"TS","0","1430","5","contour","0.1","0.24326083064079285","0.707","0.8604"
"TS","0","1431","5","contour","0.1","0.36369767785072327","0.488","0.8327"
"TS","0","1432","5","contour","0.1","0.2783798575401306","0.6836","0.8482"
"TS","0","1433","5","contour","0.1","0.3798045217990875","0.4046","0.866"
"TS","0","1434","5","contour","0.1","0.34035724401474","0.4277","0.868"
"TS","0","1435","5","contour","0.1","0.2658412456512451","0.6169","0.8774"
"TS","0","1436","5","contour","0.1","0.39374032616615295","0.4019","0.8005"
"TS","0","1437","5","contour","0.1","0.30174410343170166","0.4743","0.8731"
"TS","0","1438","5","contour","0.1","0.26639991998672485","0.6471","0.8675"
"TS","0","1439","5","contour","0.1","0.3167714476585388","0.6439","0.8119"
"TS","0","1440","5","contour","0.25","0.3542204201221466","0.646","0.8041"
"TS","0","1441","5","contour","0.25","0.34506672620773315","0.4851","0.8539"
"TS","0","1442","5","contour","0.25","0.2713242471218109","0.5261","0.8808"
"TS","0","1443","5","contour","0.25","0.2690287232398987","0.6946","0.8556"
"TS","0","1444","5","contour","0.25","0.3461154103279114","0.542","0.8203"
"TS","0","1445","5","contour","0.25","0.30598706007003784","0.5855","0.8349"
"TS","0","1446","5","contour","0.25","0.3384912610054016","0.51","0.8562"
"TS","0","1447","5","contour","0.25","0.30777499079704285","0.4326","0.8632"
"TS","0","1448","5","contour","0.25","0.33757925033569336","0.6077","0.8043"
"TS","0","1449","5","contour","0.25","0.2705329954624176","0.6369","0.8568"
"TS","0","1450","5","contour","0.25","0.36494383215904236","0.3937","0.8249"
"TS","0","1451","5","contour","0.25","0.3154490292072296","0.5382","0.831"
"TS","0","1452","5","contour","0.25","0.4220084547996521","0.3582","0.8434"
"TS","0","1453","5","contour","0.25","0.27767881751060486","0.7216","0.8222"
"TS","0","1454","5","contour","0.25","0.3379257321357727","0.4515","0.8687"
"TS","0","1455","5","contour","0.25","0.30121928453445435","0.5034","0.8474"
"TS","0","1456","5","contour","0.25","0.3528331518173218","0.4153","0.8414"
"TS","0","1457","5","contour","0.25","0.2726939916610718","0.6518","0.8471"
