"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TR","12","51","6","grid contour skeleton region point grid","0.899 0.417 0.593 0.16 36 0.319","0.1811288744211197","null","null"
"TR","12","52","6","point grid contour skeleton region point","34 0.443 0.675 0.135 0.468 22","0.1673465371131897","null","null"
"TR","12","53","10","grid contour skeleton region point grid contour skeleton region point","0.996 0.303 0.553 0.498 46 0.279 0.143 0.476 0.83 44","0.146010160446167","null","null"
"TR","12","54","14","point grid contour skeleton region point grid contour skeleton region point grid contour skeleton","30 0.931 0.841 0.462 0.472 20 0.413 0.593 0.227 0.567 37 0.746 0.299 0.821","0.1484125703573227","null","null"
"TR","12","55","14","skeleton region point grid contour skeleton region point grid contour skeleton region point grid","0.14 0.215 27 0.28 0.542 0.668 0.737 6 0.444 0.694 0.596 0.537 17 0.615","0.16849029064178467","null","null"
"TR","12","56","12","contour skeleton region point grid contour skeleton region point grid contour skeleton","0.316 0.74 0.934 37 0.179 0.559 0.147 0.965 20 0.615 0.14 0.946","0.16952845454216003","null","null"
"TR","12","57","18","contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region","0.586 0.148 0.41 7 0.16 0.787 0.182 0.457 32 0.108 0.555 0.351 0.601 29 0.608 0.457 0.237 0.566","0.15336808562278748","null","null"
"TR","12","58","1","region","0.843","0.1217782273888588","null","null"
"TR","12","59","14","point grid contour skeleton region point grid contour skeleton region point grid contour skeleton","13 0.303 0.965 0.659 0.999 7 0.351 0.857 0.179 0.11 29 0.976 0.194 0.255","0.13511012494564056","null","null"
"TR","12","60","17","region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point","0.372 36 0.505 0.306 0.138 0.607 17 0.292 0.702 0.595 0.49 37 0.827 0.376 0.628 0.531 45","0.19528862833976746","null","null"
"TR","12","61","10","skeleton region point grid contour skeleton region point grid contour","0.391 0.605 31 0.247 0.247 0.329 0.635 22 0.971 0.625","0.17371723055839539","null","null"
"TR","12","62","11","point grid contour skeleton region point grid contour skeleton region point","33 0.127 0.971 0.954 0.911 14 0.623 0.507 0.197 0.348 12","0.16944345831871033","null","null"
"TR","12","63","6","point grid contour skeleton region point","32 0.328 0.103 0.867 0.275 41","0.15583553910255432","null","null"
"TR","12","64","1","contour","0.266","0.183309867978096","null","null"
"TR","12","65","8","contour skeleton region point grid contour skeleton region","0.914 0.678 0.423 25 0.139 0.229 0.766 0.694","0.17533531785011292","null","null"
